club,slug,source,wiki_title,image_url,local_path,status
AC Milan,ac-milan,wikipedia_fr,Associazione Calcio Milan,https://upload.wikimedia.org/wikipedia/commons/d/d0/Logo_of_AC_Milan.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/ac-milan.png,ok
AS Monaco,as-monaco,wikipedia_fr,Association sportive de Monaco Football Club,https://upload.wikimedia.org/wikipedia/fr/1/1d/Logo_AS_Monaco_FC_2021.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/as-monaco.png,ok
Africa Sports,africa-sports,wikipedia_fr,Africa Sports (football),https://upload.wikimedia.org/wikipedia/fr/4/4e/Africa_Sports_Logo.png?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/africa-sports.png,ok
Ajaccio,ajaccio,wikipedia_fr,Ajaccio,https://upload.wikimedia.org/wikipedia/commons/8/84/Aiacciu.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/ajaccio.png,ok
Ajax,ajax,wikipedia_fr,Ajax Amsterdam,https://upload.wikimedia.org/wikipedia/commons/0/0d/Logo_AFC_Ajax_%281928-1991%2C_2025-%29.png?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/ajax.png,ok
Al Jazira,al-jazira,wikipedia_fr,Al Jazira Sports & Culture Club,https://upload.wikimedia.org/wikipedia/fr/7/7c/Logo_Al_Jazira_Club_2021.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/al-jazira.png,ok
Al-Ahli,al-ahli,wikipedia_fr,Al-Ahli Football Club,https://upload.wikimedia.org/wikipedia/fr/7/70/Logo_Al-Ahli_FC_2025.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/al-ahli.png,ok
Al-Ettifaq,al-ettifaq,wikipedia_fr,Al-Ettifaq Football Club,https://upload.wikimedia.org/wikipedia/fr/7/70/Logo_Al-Ettifaq_FC_2023.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/al-ettifaq.png,ok
Al-Fateh,al-fateh,wikipedia_fr,Al-Fateh Sports Club,https://upload.wikimedia.org/wikipedia/fr/a/ae/Logo_Al-Fateh_SC.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/al-fateh.png,ok
Al-Gharafa,al-gharafa,wikipedia_fr,Al-Gharafa Sports Club,https://upload.wikimedia.org/wikipedia/fr/9/91/Logo_Al-Gharafa.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/al-gharafa.png,ok
Al-Hilal,al-hilal,wikipedia_fr,Al-Hilal Football Club,https://upload.wikimedia.org/wikipedia/commons/5/55/Al_Hilal_SFC_Logo.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/al-hilal.png,ok
Al-Ittihad,al-ittihad,,,,,not_found
Al-Nasr,al-nasr,,,,,not_found
Al-Rayyan,al-rayyan,,,,,not_found
Al-Sadd,al-sadd,,,,,not_found
Al-Wasl,al-wasl,,,,,not_found
Amiens,amiens,,,,,not_found
América Mineiro,america-mineiro,,,,,not_found
Anderlecht,anderlecht,,,,,not_found
Angers,angers,wikipedia_fr,Angers,https://upload.wikimedia.org/wikipedia/commons/7/7f/Ch%C3%A2teau_d%27Angers%2C_South_view_20170611_1.jpg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/angers.png,ok
Arsenal,arsenal,,,,,not_found
Aston Villa,aston-villa,,,,,not_found
Athletico Paranaense,athletico-paranaense,,,,,not_found
Atlanta United,atlanta-united,,,,,not_found
Atlético Madrid,atletico-madrid,wikipedia_fr,Club Atlético de Madrid,https://upload.wikimedia.org/wikipedia/fr/f/fc/Logo_ATM_2024.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/atletico-madrid.png,ok
Atlético Mineiro,atletico-mineiro,,,,,not_found
Audax,audax,,,,,not_found
Auxerre,auxerre,,,,,not_found
BK Häcken,bk-hacken,,,,,not_found
Banfield,banfield,,,,,not_found
Baník Ostrava,banik-ostrava,,,,,not_found
Barcelona,barcelona,,,,,not_found
Basel,basel,,,,,not_found
Bastia,bastia,,,,,not_found
Bayer Leverkusen,bayer-leverkusen,,,,,not_found
Bayern Munich,bayern-munich,,,,,not_found
Benfica,benfica,,,,,not_found
Beşiktaş,besiktas,wikipedia_fr,Beşiktaş JK (football),https://upload.wikimedia.org/wikipedia/fr/1/19/Logo_Be%C5%9Fikta%C5%9F_JK_2024.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/besiktas.png,ok
Bologna,bologna,wikipedia_fr,Bologna Football Club 1909,https://upload.wikimedia.org/wikipedia/fr/f/fb/Logo_Bologna_FC_-_2018.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/bologna.png,ok
Bordeaux,bordeaux,,,,,not_found
Botafogo,botafogo,,,,,not_found
Botafogo-SP,botafogo-sp,,,,,not_found
Braga,braga,,,,,not_found
Brentford,brentford,,,,,not_found
Brest,brest,,,,,not_found
Burnley,burnley,,,,,not_found
CR Belouizdad,cr-belouizdad,,,,,not_found
Caen,caen,,,,,not_found
Canon Yaoundé,canon-yaounde,,,,,not_found
Celtic,celtic,wikipedia_fr,Celtic Football Club,https://upload.wikimedia.org/wikipedia/fr/9/98/Logo_Celtic_FC_2025.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/celtic.png,ok
Charleroi,charleroi,wikipedia_fr,Royal Charleroi Sporting Club,https://upload.wikimedia.org/wikipedia/fr/9/93/Sporting_de_Charleroi_%28logo%29.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/charleroi.png,ok
Chelsea,chelsea,,,,,not_found
Chicago Fire,chicago-fire,wikipedia_fr,Fire de Chicago,https://upload.wikimedia.org/wikipedia/commons/0/03/Chicago_Fire_logo%2C_2021.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/chicago-fire.png,ok
Chieti,chieti,,,,,not_found
Châteauroux,chateauroux,,,,,not_found
Clermont,clermont,,,,,not_found
Club Brugge,club-brugge,,,,,not_found
Como,como,wikipedia_fr,Como 1907,https://upload.wikimedia.org/wikipedia/commons/9/99/Calcio_Como_-_logo_%28Italy%2C_2019-%29.svg?utm_source=fr.wikipedia.org&utm_campaign=api&utm_content=original,public/images/clubs/como.png,ok
Corinthians,corinthians,,,,,not_found
Coton Sport,coton-sport,,,,,not_found
Cruz Azul,cruz-azul,,,,,not_found
Cruzeiro,cruzeiro,,,,,not_found
