name,slug,wikidata_id,image_url,local_path,status
Alain Perrin,alain-perrin,Q454164,http://commons.wikimedia.org/wiki/Special:FilePath/Alain%20Perrin%20al%20khor.jpg,public/images/coaches/alain-perrin.png,ok
Bruno Génésio,bruno-genesio,Q2926833,http://commons.wikimedia.org/wiki/Special:FilePath/BrunoGenesio2020.png,public/images/coaches/bruno-genesio.png,ok
Claude Puel,claude-puel,Q128898,http://commons.wikimedia.org/wiki/Special:FilePath/Claude%20Puel%20%28cropped%29.jpg,public/images/coaches/claude-puel.png,ok
Fabio Grosso,fabio-grosso,Q230529,http://commons.wikimedia.org/wiki/Special:FilePath/Fabio%20Grosso%20-%20Frosinone%20Calcio%20-%20DSC%202731%20AF%20%28cropped%29.jpg,public/images/coaches/fabio-grosso.png,ok
Gérard Houllier,gerard-houllier,Q295615,http://commons.wikimedia.org/wiki/Special:FilePath/G%C3%A9rard%20Houllier%20%28cropped%29.jpg,public/images/coaches/gerard-houllier.png,ok
Hubert Fournier,hubert-fournier,Q128782,http://commons.wikimedia.org/wiki/Special:FilePath/H%20Fournier%2011578.JPG,public/images/coaches/hubert-fournier.png,ok
Jacques Santini,jacques-santini,Q356426,http://commons.wikimedia.org/wiki/Special:FilePath/Jacques%20Santini%20en%201974.jpg,public/images/coaches/jacques-santini.png,ok
Laurent Blanc,laurent-blanc,Q1839,http://commons.wikimedia.org/wiki/Special:FilePath/Laurent%20blanc%2011%2011%202013%20reves%20de%20Clara.jpg,public/images/coaches/laurent-blanc.png,ok
Paul Le Guen,paul-le-guen,Q239958,http://commons.wikimedia.org/wiki/Special:FilePath/Paul%20Le%20Guen.JPG,public/images/coaches/paul-le-guen.png,ok
Peter Bosz,peter-bosz,Q1029982,http://commons.wikimedia.org/wiki/Special:FilePath/Peter%20Bosz%20crop.png,public/images/coaches/peter-bosz.png,ok
Pierre Sage,pierre-sage,Q123584452,http://commons.wikimedia.org/wiki/Special:FilePath/Pierre%20Sage%20lors%20d%E2%80%99un%20entra%C3%AEnement.jpg,public/images/coaches/pierre-sage.png,ok
Rudi Garcia,rudi-garcia,Q923131,http://commons.wikimedia.org/wiki/Special:FilePath/Rudi%20Garcia%20Troph%C3%A9e%20des%20champions%202011%20%28cropped%29.jpg,public/images/coaches/rudi-garcia.png,ok
Rémi Garde,remi-garde,Q12160,http://commons.wikimedia.org/wiki/Special:FilePath/R%C3%A9mi%20Garde%20%283%29.JPG,public/images/coaches/remi-garde.png,ok
Sylvinho,sylvinho,,,,not_found
