season,competition,round,date,time,home,away,home_score,away_score,penalties,venue_side,attendance,report_url,match_id
2000-01,Ligue 1,1,sam. 29/07/2000,20:00,Lyon,Stade Rennais,2,2,non,D,33.669,/spielbericht/index/spielbericht/1002779,1002779
2000-01,Ligue 1,2,jeu. 03/08/2000,20:00,CS Sedan,Lyon,1,1,non,E,12.087,/spielbericht/index/spielbericht/1002782,1002782
2000-01,UEFA Champions League Qualification,3e tour,lun. 07/08/2000,17:00,Inter Bratislava,Lyon,1,2,non,E,3.540,/spielbericht/index/spielbericht/1160559,1160559
2000-01,Ligue 1,3,sam. 12/08/2000,20:00,Lyon,FC Metz,0,0,non,D,29.268,/spielbericht/index/spielbericht/1002795,1002795
2000-01,Ligue 1,4,ven. 18/08/2000,20:45,SC Bastia,Lyon,2,0,non,E,9.927,/spielbericht/index/spielbericht/1002800,1002800
2000-01,UEFA Champions League Qualification,3e tour,mer. 23/08/2000,19:00,Lyon,Inter Bratislava,2,1,non,D,20.318,/spielbericht/index/spielbericht/1160573,1160573
2000-01,Ligue 1,5,sam. 26/08/2000,20:00,Lyon,Troyes,1,0,non,D,28.103,/spielbericht/index/spielbericht/1002811,1002811
2000-01,Ligue 1,6,mer. 06/09/2000,20:00,Saint-Étienne,Lyon,2,2,non,E,28.446,/spielbericht/index/spielbericht/1002824,1002824
2000-01,Ligue 1,7,sam. 09/09/2000,20:00,Lyon,RC Lens,3,0,non,D,34.529,/spielbericht/index/spielbericht/1002832,1002832
2000-01,UEFA Champions League,Phase de groupe,mar. 12/09/2000,20:45,Lyon,Heerenveen,3,1,non,D,30.000,/spielbericht/index/spielbericht/990056,990056
2000-01,Ligue 1,8,dim. 17/09/2000,18:30,FC Nantes,Lyon,0,1,non,E,26.869,/spielbericht/index/spielbericht/1002843,1002843
2000-01,UEFA Champions League,Phase de groupe,mer. 20/09/2000,00:00,Olympiakos,Lyon,2,1,non,E,52.000,/spielbericht/index/spielbericht/990081,990081
2000-01,Ligue 1,9,sam. 23/09/2000,20:00,Lyon,EA Guingamp,0,1,non,D,32.936,/spielbericht/index/spielbericht/1002847,1002847
2000-01,UEFA Champions League,Phase de groupe,mer. 27/09/2000,20:45,FC Valencia,Lyon,1,0,non,E,30.000,/spielbericht/index/spielbericht/990103,990103
2000-01,Ligue 1,10,dim. 01/10/2000,20:45,Marseille,Lyon,1,1,non,E,48.729,/spielbericht/index/spielbericht/1002862,1002862
2000-01,UEFA Champions League,Phase de groupe,mar. 17/10/2000,20:45,Lyon,FC Valencia,1,2,non,D,40.000,/spielbericht/index/spielbericht/990117,990117
2000-01,Ligue 1,12,sam. 21/10/2000,20:00,G. Bordeaux,Lyon,1,1,non,E,30.107,/spielbericht/index/spielbericht/1002873,1002873
2000-01,UEFA Champions League,Phase de groupe,mer. 25/10/2000,20:45,Heerenveen,Lyon,0,2,non,E,14.000,/spielbericht/index/spielbericht/990130,990130
2000-01,Ligue 1,13,dim. 29/10/2000,19:00,Lyon,AJ Auxerre,2,2,non,D,36.339,/spielbericht/index/spielbericht/1002885,1002885
2000-01,Ligue 1,14,ven. 03/11/2000,20:45,Monaco,Lyon,0,2,non,E,10.408,/spielbericht/index/spielbericht/1002890,1002890
2000-01,UEFA Champions League,Phase de groupe,mar. 07/11/2000,20:45,Lyon,Olympiakos,1,0,non,D,38.000,/spielbericht/index/spielbericht/990145,990145
2000-01,Ligue 1,15,sam. 11/11/2000,17:15,PSG,Lyon,1,1,non,E,43.591,/spielbericht/index/spielbericht/1002900,1002900
2000-01,Ligue 1,16,sam. 18/11/2000,20:00,Lyon,LOSC Lille,0,1,non,D,32.948,/spielbericht/index/spielbericht/1002912,1002912
2000-01,UEFA Champions League,Phase de groupe,mer. 22/11/2000,20:45,Bayern,Lyon,1,0,non,E,18.000,/spielbericht/index/spielbericht/990169,990169
2000-01,Ligue 1,17,sam. 25/11/2000,20:00,R. Strasbourg,Lyon,0,3,non,E,14.025,/spielbericht/index/spielbericht/1002921,1002921
2000-01,Ligue 1,18,mer. 29/11/2000,20:00,Lyon,CS Sedan,2,2,non,D,28.284,/spielbericht/index/spielbericht/1002936,1002936
2000-01,Ligue 1,19,sam. 02/12/2000,17:15,FC Metz,Lyon,0,0,non,E,16.218,/spielbericht/index/spielbericht/1002940,1002940
2000-01,UEFA Champions League,Phase de groupe,jeu. 07/12/2000,20:45,Lyon,Spartak Moscou,3,0,non,D,38.404,/spielbericht/index/spielbericht/990184,990184
2000-01,Ligue 1,20,sam. 09/12/2000,20:00,Lyon,SC Bastia,1,0,non,D,35.853,/spielbericht/index/spielbericht/1002953,1002953
2000-01,Ligue 1,11,mer. 13/12/2000,20:00,Lyon,Toulouse,4,1,non,D,30.129,/spielbericht/index/spielbericht/1002871,1002871
2000-01,Ligue 1,21,sam. 16/12/2000,20:00,Troyes,Lyon,1,0,non,E,13.872,/spielbericht/index/spielbericht/1002964,1002964
2000-01,Ligue 1,22,jeu. 21/12/2000,20:30,Lyon,Saint-Étienne,2,1,non,D,38.959,/spielbericht/index/spielbericht/1002971,1002971
2000-01,Coupe de la Ligue,2e tour,sam. 06/01/2001,20:45,CS Sedan,Lyon,1,2,non,E,12.044,/spielbericht/index/spielbericht/2690784,2690784
2000-01,Ligue 1,23,ven. 12/01/2001,20:45,RC Lens,Lyon,0,0,non,E,36.018,/spielbericht/index/spielbericht/1002976,1002976
2000-01,Coupe de France,3e tour,sam. 20/01/2001,00:00,Lyon,SM Caen,3,2,non,D,7.000,/spielbericht/index/spielbericht/2997430,2997430
2000-01,Ligue 1,24,sam. 27/01/2001,17:15,Lyon,FC Nantes,3,1,non,D,35.518,/spielbericht/index/spielbericht/1002986,1002986
2000-01,Coupe de la Ligue,Huitièmes de finale,mer. 31/01/2001,20:45,RC Lens,Lyon,1,3,non,E,29.943,/spielbericht/index/spielbericht/2690799,2690799
2000-01,Ligue 1,25,sam. 03/02/2001,20:00,EA Guingamp,Lyon,2,3,non,E,13.287,/spielbericht/index/spielbericht/1002996,1002996
2000-01,Ligue 1,26,mar. 06/02/2001,20:45,Lyon,Marseille,1,1,non,D,37.093,/spielbericht/index/spielbericht/1003004,1003004
2000-01,Coupe de France,4e tour,ven. 09/02/2001,00:00,Lyon,Saint-Étienne,5,4,oui,D,31.911,/spielbericht/index/spielbericht/2997384,2997384
2000-01,UEFA Champions League,Phase de groupe,mar. 13/02/2001,20:45,Lyon,Arsenal,0,1,non,D,39.541,/spielbericht/index/spielbericht/990200,990200
