name,birthdate
Michel Bastos,1983-08-02
Steve Marlet,1974-01-10
Jérémy Pied,1989-02-23
Kader Keïta,1981-08-06
Sylvain Vairelles,
Grégory Coupet,1972-12-31
Rémy Vercoutre,1980-06-26
Hugo Lloris,1986-12-26
Anthony Lopes,1990-10-01
Rémy Riou,1987-08-06
Mathieu Gorgelin,1990-08-05
Joan Hartock,1987-02-17
Lucas Perri,1997-12-10
Rémy Descamps,1996-06-25
Dominik Greif,1997-04-06
Anthony Réveillère,1979-11-10
Éric Abidal,1979-09-11
Cris,
Cláudio Caçapa,1976-05-29
Patrick Müller,1976-12-17
Sébastien Squillaci,1980-08-11
Jean-Alain Boumsong,1979-12-14
Fabio Grosso,1977-11-28
Fábio Santos,1985-09-16
Aly Cissokho,1987-09-15
Dejan Lovren,1989-07-05
Samuel Umtiti,1993-11-14
Mapou Yanga-Mbiwa,1989-05-15
Jason Denayer,1995-06-28
Marcelo,1988-05-12
Léo Dubois,1994-09-14
Kenny Tete,1995-10-09
Rafael,1990-07-09
Maxwel Cornet,1996-09-27
Youssouf Koné,1995-07-05
Ferland Mendy,1995-06-08
Melvin Bard,2000-11-06
Malo Gusto,2003-05-19
Sinaly Diomandé,
Nicolás Tagliafico,1992-08-31
Duje Ćaleta-Car,1996-09-17
Castello Lukeba,2002-12-17
Moussa Niakhaté,1996-03-08
Clinton Mata,1992-11-07
Abner,
Jérémy Berthod,1984-04-24
Sylvain Monsoreau,1981-03-20
Mourad Benhamida,1986-01-18
Lamine Diatta,1975-07-02
François Clerc,1983-04-18
Michaël Ciani,1984-04-06
Grégory Bergougnoux,
Jérôme Bréchet,
Ludovic Deflandre,
Sébastien Chanelet,
Tiago Gomes,1986-07-29
Mouctar Diakhaby,1996-12-19
Rachid Ghezzal,1992-05-09
Christophe Jallet,1983-10-31
Vincent Muratori,
Henri Bedimo,1984-06-04
Milan Baroš,1981-10-28
Jérémy Toulalan,1983-09-10
Mahamadou Diarra,1981-05-18
Alou Diarra,1981-07-15
Michael Essien,1982-12-03
Juninho Pernambucano,
Florent Malouda,1980-06-13
Sidney Govou,1979-07-27
Kim Källström,1982-08-24
Fred,1983-10-03
John Carew,1979-09-05
Sylvain Wiltord,1974-05-10
Sonny Anderson,1970-09-19
Peguy Luyindula,1979-05-25
Karim Benzema,1987-12-19
Hatem Ben Arfa,1987-03-07
Bafétimbi Gomis,1985-08-06
Lisandro López,1983-03-02
Yoann Gourcuff,1986-07-11
Maxime Gonalons,1989-03-10
Clément Grenier,1991-01-07
Alexandre Lacazette,1991-05-28
Nabil Fekir,1993-07-18
Corentin Tolisso,1994-08-03
Jordan Ferri,1992-03-12
Mathieu Valbuena,1984-09-28
Tanguy Ndombele,1996-12-28
Houssem Aouar,1998-06-30
Bertrand Traoré,1995-09-06
Memphis Depay,1994-02-13
Moussa Dembélé,1996-07-12
Martin Terrier,1997-03-04
Jeff Reine-Adélaïde,1998-01-17
Bruno Guimarães,1997-11-16
Lucas Paquetá,
Karl Toko Ekambi,
Islam Slimani,1988-06-18
Tino Kadewere,1996-01-05
Rayan Cherki,2003-08-17
Maxence Caqueret,2000-02-15
Thiago Mendes,1992-03-15
Xherdan Shaqiri,1991-10-10
Johann Lepenant,2002-10-22
Bradley Barcola,2002-09-02
Malick Fofana,2005-03-31
Ernest Nuamah,2003-11-01
Saïd Benrahma,1995-08-10
Nemanja Matić,1988-08-01
Georges Mikautadze,2000-10-31
Thiago Almada,
Pavel Šulc,2000-12-29
Afonso Moreira,2005-03-19
Adam Karabec,2003-07-02
Martín Satriano,2001-02-20
Khalis Merah,2007-02-24
Tanner Tessmann,2001-09-24
Ainsley Maitland-Niles,1997-08-29
Amine Gouiri,2000-02-16
Mariano Díaz,1993-08-01
Steed Malbranque,1980-01-06
Vikash Dhorasoo,1973-10-10
Marc-Vivien Foé,1975-05-01
Edmílson,1976-07-10
Éric Carrière,1973-05-24
Jérôme Violeau,
Pierre Laigle,1970-09-12
Christophe Delmotte,1969-06-09
Nilmar,1984-07-14
Julien Viale-Grange,
Cyprien Frau,
Sergio Pedretti,
Fabien Alfonso,
Ederson,1986-01-13
Jean Makoun,
Franck Béria,1983-05-23
Pape Diakhaté,1984-06-21
Miralem Pjanić,1990-04-02
Cesar Delgado,1981-08-18
Anthony Mounier,1987-09-27
Frédéric Piquionne,1978-12-08
Aly Diarra,
Bakary Koné,1988-04-27
Miguel Lopes,1986-12-19
Milovan Biševac,
Mouhamadou Dabo,1986-11-28
Yassine Benzia,1994-09-08
Clinton N'Jie,1993-08-15
Sergi Darder,1993-12-22
Farès Bahlouli,1995-04-08
Adama Traoré (defender),
Nicolas N'Koulou,
Maciej Rybus,1989-08-19
Emanuel Mammana,1996-02-10
Marçal,
Willem Geubbels,2001-08-16
Andersen (Joachim),
Ciprian Tătărușanu,1986-02-09
Jean Lucas,
Damien Da Silva,1988-05-17
Romain Faivre,1998-07-14
Emerson Palmieri,1994-08-03
Jerome Boateng,1988-09-03
Henrique,1986-10-14
Rominigue Kouamé,1996-12-17
Tetê,
Skelly Alvero,2002-05-02
Orel Mangala,
