name,slug,source,wikidata_name,image_url,local_path,status
Michel Bastos,michel-bastos,wikidata_ol_squad,Michel Bastos,http://commons.wikimedia.org/wiki/Special:FilePath/Michel%20Bastos.jpg,public/images/players/michel-bastos.png,ok
Steve Marlet,steve-marlet,wikidata_ol_squad,Steve Marlet,http://commons.wikimedia.org/wiki/Special:FilePath/Steve%20Marlet%202024.jpg,public/images/players/steve-marlet.png,ok
Jérémy Pied,jeremy-pied,wikidata_search,Jérémy Pied,http://commons.wikimedia.org/wiki/Special:FilePath/RC%20Lens%20-%20Lille%20OSC%20%2817-09-2021%29%2026.jpg,public/images/players/jeremy-pied.png,ok
Kader Keïta,kader-keita,wikidata_ol_squad,Kader Keita,http://commons.wikimedia.org/wiki/Special:FilePath/Abdul%20Kader%20Keita%202011%20%281%29.jpg,public/images/players/kader-keita.png,ok
Sylvain Vairelles,sylvain-vairelles,,,,,not_found
Grégory Coupet,gregory-coupet,wikidata_ol_squad,Grégory Coupet,http://commons.wikimedia.org/wiki/Special:FilePath/Gr%C3%A9gory%20Coupet.jpg,public/images/players/gregory-coupet.png,ok
Rémy Vercoutre,remy-vercoutre,,,,,not_found
Hugo Lloris,hugo-lloris,wikidata_search,Hugo Lloris,http://commons.wikimedia.org/wiki/Special:FilePath/Lloris%202018%20%28cropped%29.jpg,public/images/players/hugo-lloris.png,ok
Anthony Lopes,anthony-lopes,wikidata_ol_squad,Anthony Lopes,http://commons.wikimedia.org/wiki/Special:FilePath/20191002%20Fu%C3%9Fball%2C%20M%C3%A4nner%2C%20UEFA%20Champions%20League%2C%20RB%20Leipzig%20-%20Olympique%20Lyonnais%20by%20Stepro%20StP%200103.jpg,public/images/players/anthony-lopes.png,ok
Rémy Riou,remy-riou,,,,,not_found
Mathieu Gorgelin,mathieu-gorgelin,wikidata_ol_squad,Mathieu Gorgelin,http://commons.wikimedia.org/wiki/Special:FilePath/2013-03-03%20Match%20Brest-OL%20-%20Gorgelin.JPG,public/images/players/mathieu-gorgelin.png,ok
Joan Hartock,joan-hartock,,,,,not_found
Lucas Perri,lucas-perri,,,,,not_found
Rémy Descamps,remy-descamps,,,,,not_found
Dominik Greif,dominik-greif,wikidata_search,Dominik Greif,http://commons.wikimedia.org/wiki/Special:FilePath/Zen-Slovan%20%281%29.jpg,public/images/players/dominik-greif.png,ok
Anthony Réveillère,anthony-reveillere,wikidata_ol_squad,Anthony Réveillère,http://commons.wikimedia.org/wiki/Special:FilePath/Anthony%20R%C3%A9veill%C3%A8re%20Euro%202012%20vs%20Spain%20cropped.jpg,public/images/players/anthony-reveillere.png,ok
Éric Abidal,eric-abidal,wikidata_ol_squad,Éric Abidal,http://commons.wikimedia.org/wiki/Special:FilePath/%C3%89ric%20Abidal%20-%20001.jpg,public/images/players/eric-abidal.png,ok
Cris,cris,,,,,not_found
Cláudio Caçapa,claudio-cacapa,wikidata_search,Caçapa,http://commons.wikimedia.org/wiki/Special:FilePath/Cacapa.jpg,public/images/players/claudio-cacapa.png,ok
Patrick Müller,patrick-muller,wikidata_ol_squad,Patrick Müller,http://commons.wikimedia.org/wiki/Special:FilePath/Patrick%20M%C3%BCller%20%28cropped%29.jpg,public/images/players/patrick-muller.png,ok
Sébastien Squillaci,sebastien-squillaci,wikidata_ol_squad,Sébastien Squillaci,http://commons.wikimedia.org/wiki/Special:FilePath/Sebastien%20Squillaci%20Arsenal%20vs%20Birmingham%202010-11.jpg,public/images/players/sebastien-squillaci.png,ok
Jean-Alain Boumsong,jean-alain-boumsong,wikidata_ol_squad,Jean-Alain Boumsong,http://commons.wikimedia.org/wiki/Special:FilePath/Jean-Alain%20Boumsong%20%28novembre%202013%29.JPG,public/images/players/jean-alain-boumsong.png,ok
Fabio Grosso,fabio-grosso,wikidata_ol_squad,Fabio Grosso,http://commons.wikimedia.org/wiki/Special:FilePath/Fabio%20Grosso%20-%20Frosinone%20Calcio%20-%20DSC%202731%20AF%20%28cropped%29.jpg,public/images/players/fabio-grosso.png,ok
Fábio Santos,fabio-santos,,,,,not_found
Aly Cissokho,aly-cissokho,wikidata_ol_squad,Aly Cissokho,http://commons.wikimedia.org/wiki/Special:FilePath/Aly%20Cissokho.jpg,public/images/players/aly-cissokho.png,ok
Dejan Lovren,dejan-lovren,wikidata_search,Dejan Lovren,http://commons.wikimedia.org/wiki/Special:FilePath/Lovren%20in%20Zenit%20%28cropped%29.jpg,public/images/players/dejan-lovren.png,ok
Samuel Umtiti,samuel-umtiti,wikidata_ol_squad,Samuel Umtiti,http://commons.wikimedia.org/wiki/Special:FilePath/Samuel%20Umtiti%202018.jpg,public/images/players/samuel-umtiti.png,ok
Mapou Yanga-Mbiwa,mapou-yanga-mbiwa,wikidata_ol_squad,Mapou Yanga-Mbiwa,http://commons.wikimedia.org/wiki/Special:FilePath/Mapou%20YANGA-MBIWA.JPG,public/images/players/mapou-yanga-mbiwa.png,ok
Jason Denayer,jason-denayer,wikidata_ol_squad,Jason Denayer,http://commons.wikimedia.org/wiki/Special:FilePath/Jason%20Denayer%202019.jpg,public/images/players/jason-denayer.png,ok
Sylvain Vairelles,sylvain-vairelles,,,,,not_found
Rémy Vercoutre,remy-vercoutre,,,,,not_found
Rémy Riou,remy-riou,,,,,not_found
Joan Hartock,joan-hartock,,,,,not_found
Lucas Perri,lucas-perri,,,,,not_found
Rémy Descamps,remy-descamps,,,,,not_found
