name,position_en,subPosition_en,poste_fr,estimated_side
Michel Bastos,Midfielder,Winger,AG,oui
Steve Marlet,Forward,Striker,BU,non
Jérémy Pied,Defender,Right-Back,DD,non
Kader Keïta,Forward,Winger,AD,oui
Sylvain Vairelles,Forward,Winger,AD,oui
Grégory Coupet,Goalkeeper,Goalkeeper,G,non
Rémy Vercoutre,Goalkeeper,Goalkeeper,G,non
Hugo Lloris,Goalkeeper,Goalkeeper,G,non
Anthony Lopes,Goalkeeper,Goalkeeper,G,non
Rémy Riou,Goalkeeper,Goalkeeper,G,non
Mathieu Gorgelin,Goalkeeper,Goalkeeper,G,non
Joan Hartock,Goalkeeper,Goalkeeper,G,non
Lucas Perri,Goalkeeper,Goalkeeper,G,non
Rémy Descamps,Goalkeeper,Goalkeeper,G,non
Dominik Greif,Goalkeeper,Goalkeeper,G,non
Anthony Réveillère,Defender,Right-Back,DD,non
Éric Abidal,Defender,Left-Back,DG,non
Cris,Defender,Centre-Back,DC,non
Cláudio Caçapa,Defender,Centre-Back,DC,non
Patrick Müller,Defender,Centre-Back,DC,non
Sébastien Squillaci,Defender,Centre-Back,DC,non
Jean-Alain Boumsong,Defender,Centre-Back,DC,non
Fabio Grosso,Defender,Left-Back,DG,non
Fábio Santos,Defender,Left-Back,DG,non
Aly Cissokho,Defender,Left-Back,DG,non
Dejan Lovren,Defender,Centre-Back,DC,non
Samuel Umtiti,Defender,Centre-Back,DC,non
Mapou Yanga-Mbiwa,Defender,Centre-Back,DC,non
Jason Denayer,Defender,Centre-Back,DC,non
Marcelo,Defender,Left-Back,DG,non
Léo Dubois,Defender,Right-Back,DD,non
Kenny Tete,Defender,Right-Back,DD,non
Rafael,Defender,Right-Back,DD,non
Maxwel Cornet,Forward,Left Winger,AG,non
Youssouf Koné,Defender,Left-Back,DG,non
Ferland Mendy,Defender,Left-Back,DG,non
Melvin Bard,Defender,Left-Back,DG,non
Malo Gusto,Defender,Right-Back,DD,non
Sinaly Diomandé,Defender,Centre-Back,DC,non
Nicolás Tagliafico,Defender,Left-Back,DG,non
Duje Ćaleta-Car,Defender,Centre-Back,DC,non
Castello Lukeba,Defender,Centre-Back,DC,non
Moussa Niakhaté,Defender,Centre-Back,DC,non
Clinton Mata,Defender,Right-Back,DD,non
Abner,Defender,Left-Back,DG,non
Jérémy Berthod,Defender,Right-Back,DD,non
Sylvain Monsoreau,Defender,Centre-Back,DC,non
Mourad Benhamida,Defender,Centre-Back,DC,non
Lamine Diatta,Defender,Centre-Back,DC,non
François Clerc,Defender,Right-Back,DD,non
Michaël Ciani,Defender,Centre-Back,DC,non
Grégory Bergougnoux,Defender,Right-Back,DD,non
Jérôme Bréchet,Defender,Centre-Back,DC,non
Ludovic Deflandre,Defender,Left-Back,DG,non
Sébastien Chanelet,Defender,Centre-Back,DC,non
Tiago Gomes,Defender,Left-Back,DG,non
Mouctar Diakhaby,Defender,Centre-Back,DC,non
Rachid Ghezzal,Forward,Right Winger,AD,non
Christophe Jallet,Defender,Right-Back,DD,non
Vincent Muratori,Defender,Left-Back,DG,non
Henri Bedimo,Defender,Left-Back,DG,non
Milan Baroš,Forward,Striker,BU,non
Jérémy Toulalan,Midfielder,Defensive Midfielder,MDC,non
Mahamadou Diarra,Midfielder,Defensive Midfielder,MDC,non
Alou Diarra,Midfielder,Defensive Midfielder,MDC,non
Michael Essien,Midfielder,Defensive Midfielder,MDC,non
Juninho Pernambucano,Midfielder,Attacking Midfielder,MOC,non
Florent Malouda,Midfielder,Winger,AG,oui
Sidney Govou,Forward,Winger,AD,oui
Kim Källström,Midfielder,Central Midfielder,MC,non
Fred,Forward,Striker,BU,non
John Carew,Forward,Striker,BU,non
Sylvain Wiltord,Forward,Winger,AG,oui
Sonny Anderson,Forward,Striker,BU,non
Peguy Luyindula,Forward,Striker,BU,non
Karim Benzema,Forward,Striker,BU,non
Hatem Ben Arfa,Forward,Attacking Midfielder,MOC,non
Bafétimbi Gomis,Forward,Striker,BU,non
Lisandro López,Forward,Striker,BU,non
Yoann Gourcuff,Midfielder,Attacking Midfielder,MOC,non
Maxime Gonalons,Midfielder,Defensive Midfielder,MDC,non
Clément Grenier,Midfielder,Attacking Midfielder,MOC,non
Alexandre Lacazette,Forward,Striker,BU,non
Nabil Fekir,Midfielder,Attacking Midfielder,MOC,non
Corentin Tolisso,Midfielder,Central Midfielder,MC,non
Jordan Ferri,Midfielder,Central Midfielder,MC,non
Mathieu Valbuena,Midfielder,Attacking Midfielder,MOC,non
Tanguy Ndombele,Midfielder,Central Midfielder,MC,non
Houssem Aouar,Midfielder,Central Midfielder,MC,non
Bertrand Traoré,Forward,Winger,AD,oui
